time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how,attempt_suicide
5/17/2016 20:04:18,Male,Straight,35,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,mechanical drafter,Associate degree,None,Yes
5/17/2016 20:04:30,Male,Bisexual,21,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups,No
5/17/2016 20:04:58,Male,Straight,22,$0 ,White non-Hispanic,Overweight,Yes,No,No,10,Yes,Yes,I don't want help,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise,No
5/17/2016 20:08:01,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,8,Yes,Yes,date coaching,A student,student,"Some college, no degree",Joined a gym/go to the gym,No
5/17/2016 20:08:04,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,No,No,Yes and I have,10,No,Yes,I don't want help,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 20:09:09,Male,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Yes,date coaching,Employed for wages,game programmer,Bachelors degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups",Yes
5/17/2016 20:10:56,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,2,Yes,Yes,"Set me up with a date, date coaching",Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 20:11:13,Female,Gay/Lesbian,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Yes,"wingman/wingwoman, date coaching",Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling",Yes
5/17/2016 20:11:52,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,Yes,Set me up with a date,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/17/2016 20:13:37,Male,Straight,33,"$50,000 to $74,999",White non-Hispanic,Overweight,No,No,Yes but I haven't,6,Yes,Yes,Set me up with a date,Employed for wages,Software Engineer ,Masters degree,Therapy,Yes
5/17/2016 20:17:40,Female,Straight,32,"$50,000 to $74,999",Hispanic (of any race),Overweight,Yes,No,No,5,No,No,date coaching,Employed for wages,Nurse,Bachelors degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 20:18:37,Male,Straight,25,"$1 to $10,000",Asian,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,Freight associate,"Some college, no degree","Joined a gym/go to the gym, Other exercise",Yes
5/17/2016 20:26:57,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,Yes but I haven't,20,No,No,"wingman/wingwoman, Set me up with a date",A student,Student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",No
5/17/2016 20:30:21,Female,Straight,23,$0 ,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,I don't want help,Unable to work,NEET,"High school graduate, diploma or the equivalent (for example: GED)",None,Yes
5/17/2016 20:30:26,Male,Straight,22,"$30,000 to $39,999",Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching, someone to kill.me",Employed for wages,broker,Bachelors degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",No
5/17/2016 20:30:49,Male,Straight,23,$0 ,White non-Hispanic,Underweight,Yes,Yes,No,6,No,Yes,"Set me up with a date, date coaching",Retired,Student,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 20:32:26,Female,Straight,29,"$1 to $10,000",white and asian,Normal weight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, someone to hang out with me where I can meet met (e.g. class, free event) and sell me up",Out of work and looking for work,Intern,Bachelors degree,"Cosmetic survey, Therapy, Other exercise, forced myself to free events or events w/acquintances advertised in fb; been part of a blog for five years and met some members in person",No
5/17/2016 20:34:35,Male,Straight,21,"$1 to $10,000",Asian,Normal weight,No,No,No,12,No,No,I don't want help,A student,Student,Bachelors degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/17/2016 20:39:14,Male,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,5,Yes,Yes,I don't want help,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise",Yes
5/17/2016 20:40:22,Male,Straight,29,"$75,000 to $99,999",caucasian,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,Set me up with a date,Employed for wages,Surveyor,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/17/2016 20:41:29,Male,Straight,32,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,No,10,Yes,Yes,"Set me up with a date, date coaching",Employed for wages,Part time computer Tutor,Bachelors degree,"Joined a gym/go to the gym, Therapy",No
5/17/2016 20:42:09,Female,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,8,Yes,Yes,I don't want help,A student,Student,"Some college, no degree",join clubs/socual clubs/meet ups,No
5/17/2016 20:42:10,Male,Straight,24,$0 ,Hispanic (of any race),Normal weight,Yes,No,No,40,Yes,Yes,Set me up with a date,A student,student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise",No
5/17/2016 20:44:36,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,10,No,No,I don't want help,A student,Kitchen staff,Bachelors degree,None,No
5/17/2016 20:46:31,Male,Straight,21,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,I don't want help,Employed for wages,Software Developer,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym,No
5/17/2016 20:48:14,Female,Straight,17,$0 ,White non-Hispanic,Underweight,Yes,No,No,5,Yes,No,"wingman/wingwoman, Set me up with a date, I don't want help",A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, None",No
5/17/2016 20:48:28,Male,Straight,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,Yes,No,3,No,No,I don't want help,Employed for wages,Guy,Trade/technical/vocational training,Joined a gym/go to the gym,No
5/17/2016 20:59:07,Male,Straight,17,$0 ,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,wingman/wingwoman,A student,none (?),"Some high school, no diploma",None,No
5/17/2016 21:00:47,Female,Straight,28,$0 ,Asian,Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,A student,student,Bachelors degree,None,No
5/17/2016 21:01:09,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,0,Yes,No,I don't want help,A student,Peon,"Some college, no degree","Therapy, Other exercise",No
5/17/2016 21:08:26,Male,Straight,17,$0 ,Asian,Underweight,Yes,Yes,No,5,Yes,No,"wingman/wingwoman, Set me up with a date",A student,,"Some high school, no diploma",None,No
5/17/2016 21:15:34,Male,Straight,25,"$1 to $10,000",White non-Hispanic,Underweight,Yes,Yes,No,6,Yes,Yes,I don't want help,A student,Student,Bachelors degree,Joined a gym/go to the gym,No
5/17/2016 21:16:35,Male,Straight,17,$0 ,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, date coaching",A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Therapy,No
5/17/2016 21:25:17,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,13,No,Yes,wingman/wingwoman,Employed for wages,Chef,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise",No
5/17/2016 21:34:10,Male,Straight,26,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,6,No,No,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Butcher,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 21:38:39,Male,Straight,26,$0 ,White non-Hispanic,Normal weight,No,No,No,3,Yes,No,I don't want help,A student,"Medical student, year 4",Doctorate degree,None,No
5/17/2016 21:39:26,Male,Straight,23,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,15,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Software full stack developer,Bachelors degree,"Therapy, Other exercise",No
5/17/2016 21:45:04,Male,Straight,25,"$30,000 to $39,999",Asian,Overweight,Yes,Yes,Yes but I haven't,8,Yes,Yes,I don't want help,A student,Junior BA,Bachelors degree,Joined a gym/go to the gym,No
5/17/2016 21:45:35,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,17,No,Yes,wingman/wingwoman,A student,Cinema Student,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 21:55:53,Male,Straight,19,$0 ,White non-Hispanic,Normal weight,No,No,No,40,No,No,I don't want help,A student,Engineer,Professional degree,None,No
5/17/2016 21:57:20,Male,Straight,19,"$1 to $10,000",Asian,Normal weight,Yes,No,No,15,No,No,date coaching,A student,student,Bachelors degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 22:01:48,Female,Straight,55,"$20,000 to $29,999",White non-Hispanic,Overweight,No,No,No,0,No,No,I don't want help,Employed for wages,Iternent peagogue,Bachelors degree,join clubs/socual clubs/meet ups,No
5/17/2016 22:12:58,Male,Straight,35,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,5,No,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,Software developer,Bachelors degree,join clubs/socual clubs/meet ups,No
5/17/2016 22:14:11,Male,Straight,24,$0 ,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching, anything",Out of work and looking for work,Admin Assistant,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/17/2016 22:15:22,Male,Straight,22,"$10,000 to $19,999",Black,Normal weight,Yes,No,No,0,Yes,No,Set me up with a date,Employed for wages,Cook,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 22:19:27,Female,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Yes,"Set me up with a date, Friends ",A student,Grad student ,Masters degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 22:20:28,Male,Straight,20,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,5,No,No,I don't want help,Military,Aviation Electricians Mate,"Some college, no degree","Joined a gym/go to the gym, Other exercise",No
5/17/2016 22:23:12,Male,Straight,25,$0 ,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,student,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 22:25:40,Male,Bisexual,18,$0 ,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,10,Yes,Yes,"wingman/wingwoman, Set me up with a date",A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym,No
5/17/2016 22:29:37,Male,Straight,29,"$150,000 to $174,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3,Yes,Yes,I don't want help,Employed for wages,Software Engineer,Bachelors degree,Other exercise,No
5/17/2016 22:33:23,Male,Bisexual,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,Out of work but not currently looking for work,Professional NEET,"Some college, no degree","Therapy, Other exercise",Yes
5/17/2016 22:33:51,Female,Bisexual,23,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,4,Yes,No,Set me up with a date,Employed for wages,Cashier,"Some college, no degree",Joined a gym/go to the gym,No
5/17/2016 22:38:33,Male,Straight,22,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,service desk analyst,"Some college, no degree",Joined a gym/go to the gym,No
5/17/2016 22:42:00,Male,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,6,No,Yes,"wingman/wingwoman, Set me up with a date",A student,researcher,Masters degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 22:43:42,Male,Straight,18,$0 ,Black,Overweight,Yes,Yes,Yes but I haven't,0,Yes,No,I don't want help,A student,,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 22:44:08,Male,Straight,19,$0 ,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,10,Yes,No,date coaching,Out of work but not currently looking for work,,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 22:46:53,Male,Straight,33,"$10,000 to $19,999",Hispanic (of any race),Underweight,No,No,Yes but I haven't,7,Yes,Yes,wingman/wingwoman,Employed for wages,loser,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise",No
5/17/2016 22:49:46,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,1,Yes,Yes,"Set me up with a date, date coaching",Employed for wages,store clerk,Bachelors degree,join clubs/socual clubs/meet ups,No
5/17/2016 22:51:33,Female,Straight,21,$0 ,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,NEET,"Some college, no degree","None, started taking some medication",No
5/17/2016 22:52:38,Male,Straight,22,"$1 to $10,000",Hispanic (of any race),Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,Employed for wages,Intern,Bachelors degree,None,No
5/17/2016 22:55:50,Male,Straight,24,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,20,No,Yes,Set me up with a date,Employed for wages,Management ,Bachelors degree,"Joined a gym/go to the gym, Other exercise",No
5/17/2016 22:56:02,Transgender male,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,No,4,Yes,No,wingman/wingwoman,Employed for wages,Engineering co-op student,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 23:00:07,Male,Gay/Lesbian,25,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,0,No,Yes,Set me up with a date,Employed for wages,Supervisor,Bachelors degree,Joined a gym/go to the gym,No
5/17/2016 23:08:07,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,1,No,Yes,"wingman/wingwoman, Set me up with a date, I don't even know..",A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Clubbing, living in a student house (at dorms)",No
5/17/2016 23:09:12,Male,Straight,16,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,8,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Therapy",Yes
5/17/2016 23:09:32,Male,Straight,22,"$10,000 to $19,999",Middle Eastern,Normal weight,No,No,No,6,Yes,Yes,Set me up with a date,Employed for wages,IT,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/17/2016 23:12:04,Male,Straight,20,$0 ,White non-Hispanic,Overweight,Yes,No,No,4,No,No,I don't want help,A student,Software development ,"Some college, no degree",None,No
5/17/2016 23:13:32,Male,Straight,28,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,bum,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 23:13:58,Male,Straight,21,$0 ,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, I don't want help",Retired,None,"Some college, no degree",Talking to people,No
5/17/2016 23:15:14,Male,Straight,24,"$20,000 to $29,999",Asian,Overweight,Yes,No,No,8,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,Grad Student,Masters degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 23:16:50,Male,Straight,38,"$1 to $10,000",White non-Hispanic,Overweight,No,No,No,0,Yes,Yes,I don't want help,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/17/2016 23:16:59,Male,Straight,24,"$10,000 to $19,999",half Arab,Overweight,Yes,Yes,No,4,No,Yes,Trust,Employed for wages,IT Technician,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups, Partying",No
5/17/2016 23:19:44,Female,Straight,26,$0 ,White non-Hispanic,Underweight,Yes,No,No,5,Yes,Yes,Set me up with a date,A student,.,Bachelors degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/17/2016 23:22:00,Male,Straight,25,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,No,"wingman/wingwoman, Set me up with a date",Employed for wages,Engineer,Bachelors degree,None,No
5/17/2016 23:22:46,Male,Straight,45,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,No,No,0,Yes,Yes,I don't want help,Employed for wages,laborer,"Some college, no degree","Therapy, Other exercise",Yes
5/17/2016 23:24:12,Male,Straight,28,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,No,12,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Software Engineer,Bachelors degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",Yes
5/17/2016 23:28:48,Male,Straight,21,$0 ,Hispanic (of any race),Normal weight,Yes,No,No,0,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,Student ,"Some college, no degree",None,No
5/17/2016 23:29:37,Male,Straight,25,"$30,000 to $39,999",Asian,Normal weight,Yes,No,No,2,Yes,Yes,"date coaching, I don't want help",Employed for wages,Product Designer,Masters degree,Other exercise,No
5/17/2016 23:29:47,Male,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,5,No,No,I don't want help,Employed for wages,Data entry,Bachelors degree,join clubs/socual clubs/meet ups,No
5/17/2016 23:33:57,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Yes,Set me up with a date,A student,Student,"Some college, no degree","join clubs/socual clubs/meet ups, Practice various skills, such as writing and piano.",No
5/17/2016 23:34:25,Male,Straight,29,"$125,000 to $149,999",Black,Overweight,Yes,No,Yes but I haven't,6,Yes,No,I want help but I am not sure what kind. I always think it would be nice if a woman would approch me but thats not realistic.,Self-employed,Engineer,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/17/2016 23:34:44,Male,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,4,Yes,No,I don't want help,Employed for wages,Sales,Bachelors degree,"Joined a gym/go to the gym, Other exercise",No
5/17/2016 23:48:02,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,10,No,No,I don't want help,A student,.,Bachelors degree,None,No
5/17/2016 23:50:25,Male,Straight,23,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,No,I don't want help,Out of work but not currently looking for work,.,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/17/2016 23:55:09,Male,Straight,30,$0 ,Hispanic (of any race),Underweight,No,No,Yes but I haven't,1,Yes,No,fitness coaching,Out of work but not currently looking for work,systems analyst,"Some college, no degree",Therapy,No
5/17/2016 23:58:39,Male,Straight,15,$0 ,White non-Hispanic,Normal weight,Yes,No,No,9,No,No,I don't want help,Employed for wages,freshman,"Some high school, no diploma",None,No
5/17/2016 23:59:22,Female,Straight,28,"$20,000 to $29,999",Black,Obese,Yes,Yes,No,0,Yes,No,"Set me up with a date, date coaching",A student,Coder,Associate degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 0:02:54,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,5,Yes,Yes,Set me up with a date,A student,Undergraduate.,"Some college, no degree",None,No
5/18/2016 0:03:12,Male,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,30,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,Medical Services,Trade/technical/vocational training,"Joined a gym/go to the gym, Other exercise",No
5/18/2016 0:05:28,Male,Straight,29,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,No,No,4,No,Yes,I don't want help,Out of work and looking for work,Delivery guy,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/18/2016 0:07:31,Male,Straight,30,"$30,000 to $39,999",Hispanic (of any race),Overweight,Yes,No,No,5,No,Yes,Set me up with a date,Employed for wages,IT operations ,Bachelors degree,None,No
5/18/2016 0:10:56,Male,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, Pity fuck",Employed for wages,Engineer,Bachelors degree,"Other exercise, join clubs/socual clubs/meet ups, Change my lifestyle, eat healthy, etc",No
5/18/2016 0:11:13,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,Yes,No,No,100,No,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,Intermediate Call Center Representative,Bachelors degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 0:14:54,Male,Straight,34,"$20,000 to $29,999",White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise",No
5/18/2016 0:15:10,Male,Straight,23,$0 ,White non-Hispanic,Overweight,Yes,No,No,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,.,Bachelors degree,None,No
5/18/2016 0:22:00,Male,Straight,22,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,No,No,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Call Center Agent,"Some college, no degree",Other exercise,No
5/18/2016 0:23:17,Male,Straight,23,"$1 to $10,000",Hispanic (of any race),Normal weight,No,Yes,Yes and I have,20,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,Economist,Bachelors degree,Other exercise,Yes
5/18/2016 0:26:34,Male,Straight,30,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Yes,date coaching,Employed for wages,Farm hand,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 0:28:30,Male,Bisexual,19,$0 ,White non-Hispanic,Overweight,Yes,No,No,0,Yes,Yes,Set me up with a date,A student,I have no job,"Some college, no degree",None,No
5/18/2016 0:35:13,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,6,Yes,Yes,Set me up with a date,A student,Undergraduate,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/18/2016 0:36:07,Male,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,No,Yes,No,6,No,No,wingman/wingwoman,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy",No
5/18/2016 0:40:40,Male,Straight,16,$0 ,Hispanic (of any race),Overweight,Yes,No,No,0,Yes,Yes,I don't want help,A student,Loser,"Some high school, no diploma",Joined a gym/go to the gym,Yes
5/18/2016 0:40:52,Female,Straight,25,$0 ,White non-Hispanic,Normal weight,No,No,No,2,No,No,I don't want help,Unable to work,na,"Some college, no degree",None,Yes
5/18/2016 0:41:52,Male,Straight,19,$0 ,White non-Hispanic,Overweight,Yes,No,No,6,Yes,Yes,I don't want help,Unable to work,none,"High school graduate, diploma or the equivalent (for example: GED)",Therapy,No
5/18/2016 0:44:01,Female,Bisexual,26,"$50,000 to $74,999",Hispanic (of any race),Normal weight,No,No,No,2,Yes,Yes,Maybe to learn how to be happy,A student,Optometric tech,Masters degree,Joined a gym/go to the gym,Yes
5/18/2016 0:45:43,Male,Straight,32,"$100,000 to $124,999",White non-Hispanic,Overweight,Yes,No,No,5,Yes,Yes,I don't want help,Employed for wages,Software Developer,Bachelors degree,Other exercise,No
5/18/2016 0:50:46,Male,Straight,28,$0 ,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,NEET,"Some college, no degree",None,No
5/18/2016 0:50:50,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,Yes,No,4,No,No,I don't want help,Employed for wages,Worker,"Some college, no degree",Joined a gym/go to the gym,No
5/18/2016 0:51:07,Female,Straight,18,"$10,000 to $19,999",Asian,Normal weight,Yes,Yes,No,10,Yes,No,wingman/wingwoman,A student,Student. Part time web developer?,Bachelors degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 0:54:09,Male,Straight,22,$0 ,Asian,Normal weight,Yes,No,No,0,Yes,No,I don't want help,Out of work and looking for work,Funemployed ,Bachelors degree,None,No
5/18/2016 0:57:21,Male,Straight,25,"$10,000 to $19,999",Black,Overweight,Yes,No,Yes but I haven't,2,Yes,Yes,date coaching,Out of work and looking for work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",Yes
5/18/2016 1:12:10,Male,Straight,19,"$30,000 to $39,999",Asian,Normal weight,Yes,No,Yes but I haven't,1,No,Yes,Set me up with a date,A student,i/t support,Bachelors degree,"Cosmetic survey, Other exercise",No
5/18/2016 1:13:28,Male,Straight,21,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,No,"wingman/wingwoman, Set me up with a date",Military,Grunt,Bachelors degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 1:13:43,Female,Straight,17,$0 ,Asian,Underweight,Yes,No,No,16,No,No,Friendship,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/18/2016 1:17:35,Female,Bisexual,38,$0 ,White non-Hispanic,Normal weight,No,No,No,0,Yes,Yes,Friendship,Unable to work,Unemployed ,Bachelors degree,"Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/18/2016 1:18:39,Male,Straight,23,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,15,No,No,Set me up with a date,Out of work and looking for work,Nothing,Bachelors degree,Other exercise,No
5/18/2016 1:20:07,Male,Straight,21,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,3,No,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,Student,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups",No
